split,train_size,method_id,method_label,representation,model,rank,mean_MAE,std_MAE,mean_R2,std_R2
scaffold,2000,morgan_rf,Morgan + RF,Morgan fingerprints,RandomForest,5,0.1951530973359991,0.028800889188603688,0.6387126470978408,0.0609578228485024
scaffold,2000,morgan_xgb,Morgan + XGB,Morgan fingerprints,XGBoost,6,0.19515334069728846,0.019314028041397785,0.659160578250885,0.04040757652818409
scaffold,2000,morgan_mlp,Morgan + MLP,Morgan fingerprints,MLP,7,0.21240034401416774,0.03166287564902787,0.5995603680610657,0.07316555802566412
scaffold,3000,gine,2D graph + GINE,2D molecular graph,scratch GINE,1,0.1249950587749481,0.021306124026355476,0.8379101156741602,0.038693857688657525
scaffold,3000,rdkit_mlp,RDKit + MLP,RDKit descriptors,MLP,2,0.12625052481889723,0.030881915193696655,0.8201582789421081,0.10501442132847238
scaffold,3000,rdkit_xgb,RDKit + XGB,RDKit descriptors,XGBoost,3,0.13383149504661557,0.024197067723028747,0.8195296883583069,0.04257827850396953
scaffold,3000,rdkit_rf,RDKit + RF,RDKit descriptors,RandomForest,4,0.1403850202989898,0.021152702745507367,0.7828820591661027,0.0382301975771447
scaffold,3000,morgan_rf,Morgan + RF,Morgan fingerprints,RandomForest,5,0.18693910932771168,0.028106956824009453,0.6614299444357704,0.05363230667443495
scaffold,3000,morgan_xgb,Morgan + XGB,Morgan fingerprints,XGBoost,6,0.18874286413192748,0.016364486298513167,0.6767997741699219,0.030261894433093534
scaffold,3000,morgan_mlp,Morgan + MLP,Morgan fingerprints,MLP,7,0.19944948256015774,0.029096643423947483,0.6352578401565552,0.06685210614688501
scaffold,5000,rdkit_mlp,RDKit + MLP,RDKit descriptors,MLP,1,0.10906133651733396,0.023965787166589817,0.8466649532318116,0.1019463338105163
scaffold,5000,gine,2D graph + GINE,2D molecular graph,scratch GINE,2,0.11082541197538372,0.011691981605355187,0.8645722065461356,0.029249946486475022
scaffold,5000,rdkit_xgb,RDKit + XGB,RDKit descriptors,XGBoost,3,0.1285376742482185,0.02527110131464766,0.8359982132911682,0.0517451513968814
scaffold,5000,rdkit_rf,RDKit + RF,RDKit descriptors,RandomForest,4,0.13515070716890593,0.02763099510998947,0.7955749408170546,0.05649371718234794
scaffold,5000,morgan_rf,Morgan + RF,Morgan fingerprints,RandomForest,5,0.17874405335916027,0.03484498386920867,0.6822255141322661,0.06491540136485918
scaffold,5000,morgan_mlp,Morgan + MLP,Morgan fingerprints,MLP,6,0.18439151644706722,0.025492935313953923,0.6786733508110047,0.060939637458483915
scaffold,5000,morgan_xgb,Morgan + XGB,Morgan fingerprints,XGBoost,7,0.18526068627834316,0.016818828617189252,0.6904973745346069,0.034199387891688526
scaffold,7000,gine,2D graph + GINE,2D molecular graph,scratch GINE,1,0.09585175812244409,0.015490773204603807,0.8809295296858783,0.03240911704679929
scaffold,7000,rdkit_mlp,RDKit + MLP,RDKit descriptors,MLP,2,0.10976369082927699,0.035896995024790206,0.7946274757385254,0.2198493723137462
scaffold,7000,rdkit_xgb,RDKit + XGB,RDKit descriptors,XGBoost,3,0.12668479532003396,0.02641261106462967,0.8406920909881592,0.052182323994260024
scaffold,7000,rdkit_rf,RDKit + RF,RDKit descriptors,RandomForest,4,0.13020461466616345,0.026271638713491485,0.8021743470960454,0.05342985697403595
scaffold,7000,morgan_mlp,Morgan + MLP,Morgan fingerprints,MLP,5,0.1724458038806915,0.028361945930378114,0.7120790004730224,0.06796647394919793
scaffold,7000,morgan_rf,Morgan + RF,Morgan fingerprints,RandomForest,6,0.17797613681834573,0.042098086142834765,0.6864214665987145,0.07741894784040083
scaffold,7000,morgan_xgb,Morgan + XGB,Morgan fingerprints,XGBoost,7,0.18196168243885036,0.017668834292354982,0.6983096957206726,0.037683529899485174
scaffold,8000,gine,2D graph + GINE,2D molecular graph,scratch GINE,1,0.09832286834716794,0.01679277108861355,0.8806757745852984,0.029266216856966277
scaffold,8000,rdkit_mlp,RDKit + MLP,RDKit descriptors,MLP,2,0.1097248390316963,0.03522078993367276,0.8779571175575256,0.06508397506923644
scaffold,8000,rdkit_xgb,RDKit + XGB,RDKit descriptors,XGBoost,3,0.12558985203504558,0.026143278096647626,0.8453268766403198,0.05382692291079731
scaffold,8000,rdkit_rf,RDKit + RF,RDKit descriptors,RandomForest,4,0.12839965048086305,0.026486482635781242,0.8089774180711528,0.05629220500137926
scaffold,8000,morgan_mlp,Morgan + MLP,Morgan fingerprints,MLP,5,0.16765437126159663,0.026899821092688018,0.7261347293853759,0.06754975382569713
scaffold,8000,morgan_rf,Morgan + RF,Morgan fingerprints,RandomForest,6,0.1722434096419768,0.03707381692354993,0.6986649906183324,0.06779436459061419
scaffold,8000,morgan_xgb,Morgan + XGB,Morgan fingerprints,XGBoost,7,0.18306979537010187,0.01770869571125487,0.6962911725044251,0.0382962860530993
scaffold,10000,gine,2D graph + GINE,2D molecular graph,scratch GINE,1,0.09282046705484386,0.014686450777475062,0.8920467504110061,0.03861069035271104
scaffold,10000,rdkit_mlp,RDKit + MLP,RDKit descriptors,MLP,2,0.10476193577051156,0.032864923030485875,0.8272488713264465,0.17433479561254336
scaffold,10000,rdkit_xgb,RDKit + XGB,RDKit descriptors,XGBoost,3,0.12312281727790828,0.024302522935589713,0.8520735502243042,0.05224554324003763
scaffold,10000,rdkit_rf,RDKit + RF,RDKit descriptors,RandomForest,4,0.12385639627448682,0.025543581830577,0.8202482687094005,0.059032841789906705
scaffold,10000,morgan_mlp,Morgan + MLP,Morgan fingerprints,MLP,5,0.15937223136425016,0.026850227758123443,0.7456796646118165,0.0675976958679158
scaffold,10000,morgan_rf,Morgan + RF,Morgan fingerprints,RandomForest,6,0.17010587148233808,0.038273046137671705,0.702602506207967,0.0718326461502312
scaffold,10000,morgan_xgb,Morgan + XGB,Morgan fingerprints,XGBoost,7,0.18210351765155788,0.018903829006139877,0.7041406631469727,0.0408418537877134
