method_id,method_label,train_size,seed,random_MAE,scaffold_MAE,gap_seed,mean_gap,std_gap,n_seeds
morgan_mlp,Morgan + MLP,3000,33,0.1563055217266082,0.1876123696565628,0.03130684792995461,0.04611735641956332,0.029635375821814493,5
morgan_mlp,Morgan + MLP,3000,44,0.1528787910938263,0.2346841543912887,0.08180536329746241,0.04611735641956332,0.029635375821814493,5
morgan_mlp,Morgan + MLP,3000,55,0.152426391839981,0.2254431545734405,0.0730167627334595,0.04611735641956332,0.029635375821814493,5
gine,2D graph + GINE,3000,11,0.1013302356004715,0.1060446873307228,0.004714451730251298,0.03065371811389924,0.023969791006393123,5
gine,2D graph + GINE,3000,22,0.0813992545008659,0.1094704046845436,0.0280711501836777,0.03065371811389924,0.023969791006393123,5
gine,2D graph + GINE,3000,33,0.0962727516889572,0.1131892800331115,0.016916528344154302,0.03065371811389924,0.023969791006393123,5
gine,2D graph + GINE,3000,44,0.111105278134346,0.1465015411376953,0.03539626300334932,0.03065371811389924,0.023969791006393123,5
gine,2D graph + GINE,3000,55,0.0815991833806037,0.1497693806886673,0.0681701973080636,0.03065371811389924,0.023969791006393123,5
rdkit_rf,RDKit + RF,5000,11,0.0952353315836541,0.1118963560911345,0.0166610245074804,0.039057165653793316,0.027094748103800977,5
rdkit_rf,RDKit + RF,5000,22,0.0953679422274286,0.121449374246297,0.026081432018868395,0.039057165653793316,0.027094748103800977,5
rdkit_rf,RDKit + RF,5000,33,0.0963695620410751,0.1124123402481362,0.016042778207061112,0.039057165653793316,0.027094748103800977,5
rdkit_rf,RDKit + RF,5000,44,0.0971207422527148,0.1613458148280618,0.06422507257534699,0.039057165653793316,0.027094748103800977,5
rdkit_rf,RDKit + RF,5000,55,0.0963741294706905,0.1686496504309002,0.07227552096020969,0.039057165653793316,0.027094748103800977,5
rdkit_xgb,RDKit + XGB,5000,11,0.0969193503260612,0.1038485839962959,0.006929233670234708,0.03246222734451294,0.024299426103557082,5
rdkit_xgb,RDKit + XGB,5000,22,0.0934882909059524,0.1155799478292465,0.022091656923294095,0.03246222734451294,0.024299426103557082,5
rdkit_xgb,RDKit + XGB,5000,33,0.0950760245323181,0.1116105616092681,0.016534537076950004,0.03246222734451294,0.024299426103557082,5
rdkit_xgb,RDKit + XGB,5000,44,0.0982657223939895,0.1549950689077377,0.05672934651374821,0.03246222734451294,0.024299426103557082,5
rdkit_xgb,RDKit + XGB,5000,55,0.0966278463602066,0.1566542088985443,0.06002636253833771,0.03246222734451294,0.024299426103557082,5
rdkit_mlp,RDKit + MLP,5000,11,0.0817043930292129,0.0914785712957382,0.00977417826652531,0.02883498370647432,0.02266171706549759,5
