method_id,method_label,representation,model,split,train_size,n_seeds,mean_MAE,std_MAE,mean_RMSE,std_RMSE,mean_R2,std_R2
morgan_mlp,Morgan + MLP,Morgan fingerprints,MLP,scaffold,500,5,0.25446015000343325,0.038995204604574035,0.36293531354017106,0.055847920074943706,0.4636364459991455,0.08915749469526364
gine,2D graph + GINE,2D molecular graph,scratch GINE,scaffold,500,5,0.1851651310920715,0.025864387664799204,0.27176620459957535,0.0421324777799634,0.6992221471722913,0.05057235582571763
rdkit_rf,RDKit + RF,RDKit descriptors,RandomForest,scaffold,1000,5,0.1615099719013418,0.022613932575772613,0.2605202793114085,0.03912105232155406,0.7233279482346302,0.046761935643671475
rdkit_xgb,RDKit + XGB,RDKit descriptors,XGBoost,scaffold,1000,5,0.15225753188133234,0.024940575778297707,0.24825855147217127,0.0437830789255916,0.748500394821167,0.0557640798571341
rdkit_mlp,RDKit + MLP,RDKit descriptors,MLP,scaffold,1000,5,0.14431811869144434,0.021794052639422898,0.2484165265455452,0.04268333280491738,0.7462530732154846,0.06276229730805469
morgan_rf,Morgan + RF,Morgan fingerprints,RandomForest,scaffold,1000,5,0.20446020098087025,0.02080227205674077,0.3096217687475339,0.03505107032818183,0.6090929953482158,0.03725445414444643
morgan_xgb,Morgan + XGB,Morgan fingerprints,XGBoost,scaffold,1000,5,0.20183078050613398,0.017843551791444028,0.29882471918970466,0.03760194124100937,0.6362346410751343,0.041355310124062704
morgan_mlp,Morgan + MLP,Morgan fingerprints,MLP,scaffold,1000,5,0.23695431351661683,0.03830168522085641,0.3394146866611648,0.05717988236952737,0.5306880950927735,0.09156272396844496
gine,2D graph + GINE,2D molecular graph,scratch GINE,scaffold,1000,5,0.17555632591247555,0.016917206144661422,0.256442334861526,0.029114744623160545,0.7317057500661402,0.028271942177061152
rdkit_rf,RDKit + RF,RDKit descriptors,RandomForest,scaffold,2000,5,0.14635082872691413,0.0197995013055056,0.23996770885685312,0.03523028957606992,0.7652629794717157,0.037342823842401465
rdkit_xgb,RDKit + XGB,RDKit descriptors,XGBoost,scaffold,2000,5,0.14178436547517773,0.027552062286208944,0.22567468376738406,0.04305100038531483,0.7921877861022949,0.050226502277595925
rdkit_mlp,RDKit + MLP,RDKit descriptors,MLP,scaffold,2000,5,0.13349152654409405,0.033490651474810305,0.22364189844548754,0.06431315140319521,0.7880558609962464,0.0953864415730735
morgan_rf,Morgan + RF,Morgan fingerprints,RandomForest,scaffold,2000,5,0.1951530973359991,0.028800889188603688,0.29751959273817646,0.043920749330094676,0.6387126470978408,0.0609578228485024
morgan_xgb,Morgan + XGB,Morgan fingerprints,XGBoost,scaffold,2000,5,0.19515334069728846,0.019314028041397785,0.28926250900276923,0.03725772711008607,0.659160578250885,0.04040757652818409
morgan_mlp,Morgan + MLP,Morgan fingerprints,MLP,scaffold,2000,5,0.21240034401416774,0.03166287564902787,0.3135155879304098,0.05037677365013772,0.5995603680610657,0.07316555802566412
gine,2D graph + GINE,2D molecular graph,scratch GINE,scaffold,2000,5,0.1324619591236114,0.02007398322314898,0.20874477073877715,0.03629429404491116,0.8223041823639413,0.03721865554887873
rdkit_rf,RDKit + RF,RDKit descriptors,RandomForest,scaffold,3000,5,0.1403850202989898,0.021152702745507367,0.2308719696023262,0.03643228441630024,0.7828820591661027,0.0382301975771447
rdkit_xgb,RDKit + XGB,RDKit descriptors,XGBoost,scaffold,3000,5,0.13383149504661557,0.024197067723028747,0.2103624884748183,0.03976579312412484,0.8195296883583069,0.04257827850396953
rdkit_mlp,RDKit + MLP,RDKit descriptors,MLP,scaffold,3000,5,0.12625052481889723,0.030881915193696655,0.2064318318811095,0.07245409747656943,0.8201582789421081,0.10501442132847238
morgan_rf,Morgan + RF,Morgan fingerprints,RandomForest,scaffold,3000,5,0.18693910932771168,0.028106956824009453,0.2881500386130437,0.04175141689759488,0.6614299444357704,0.05363230667443495
morgan_xgb,Morgan + XGB,Morgan fingerprints,XGBoost,scaffold,3000,5,0.18874286413192748,0.016364486298513167,0.2816130660862767,0.03265019136750221,0.6767997741699219,0.030261894433093534
morgan_mlp,Morgan + MLP,Morgan fingerprints,MLP,scaffold,3000,5,0.19944948256015774,0.029096643423947483,0.2992638544999423,0.048694180060858634,0.6352578401565552,0.06685210614688501
gine,2D graph + GINE,2D molecular graph,scratch GINE,scaffold,3000,5,0.1249950587749481,0.021306124026355476,0.19933795239584476,0.03804227105074669,0.8379101156741602,0.038693857688657525
rdkit_rf,RDKit + RF,RDKit descriptors,RandomForest,scaffold,5000,5,0.13515070716890593,0.02763099510998947,0.22368262868344138,0.04654519656414697,0.7955749408170546,0.05649371718234794
rdkit_xgb,RDKit + XGB,RDKit descriptors,XGBoost,scaffold,5000,5,0.1285376742482185,0.02527110131464766,0.2001212978416092,0.045848578597619725,0.8359982132911682,0.0517451513968814
rdkit_mlp,RDKit + MLP,RDKit descriptors,MLP,scaffold,5000,5,0.10906133651733396,0.023965787166589817,0.18919670562121232,0.07377208221150848,0.8466649532318116,0.1019463338105163
morgan_rf,Morgan + RF,Morgan fingerprints,RandomForest,scaffold,5000,5,0.17874405335916027,0.03484498386920867,0.279268299444292,0.04838420974720413,0.6822255141322661,0.06491540136485918
morgan_xgb,Morgan + XGB,Morgan fingerprints,XGBoost,scaffold,5000,5,0.18526068627834316,0.016818828617189252,0.2756449628925618,0.03454616650968145,0.6904973745346069,0.034199387891688526
morgan_mlp,Morgan + MLP,Morgan fingerprints,MLP,scaffold,5000,5,0.18439151644706722,0.025492935313953923,0.28083606024313795,0.04637185988269928,0.6786733508110047,0.060939637458483915
gine,2D graph + GINE,2D molecular graph,scratch GINE,scaffold,5000,5,0.11082541197538372,0.011691981605355187,0.18209189241104515,0.03155072878154,0.8645722065461356,0.029249946486475022
rdkit_rf,RDKit + RF,RDKit descriptors,RandomForest,scaffold,7000,5,0.13020461466616345,0.026271638713491485,0.22005821608475049,0.04516042628259802,0.8021743470960454,0.05342985697403595
rdkit_xgb,RDKit + XGB,RDKit descriptors,XGBoost,scaffold,7000,5,0.12668479532003396,0.02641261106462967,0.19713457133878523,0.04629593959629359,0.8406920909881592,0.052182323994260024
rdkit_mlp,RDKit + MLP,RDKit descriptors,MLP,scaffold,7000,5,0.10976369082927699,0.035896995024790206,0.2085474683356142,0.12306087376788688,0.7946274757385254,0.2198493723137462
morgan_rf,Morgan + RF,Morgan fingerprints,RandomForest,scaffold,7000,5,0.17797613681834573,0.042098086142834765,0.2771498695419794,0.053330245538938774,0.6864214665987145,0.07741894784040083
morgan_xgb,Morgan + XGB,Morgan fingerprints,XGBoost,scaffold,7000,5,0.18196168243885036,0.017668834292354982,0.2721726145173784,0.03613177626760531,0.6983096957206726,0.037683529899485174
morgan_mlp,Morgan + MLP,Morgan fingerprints,MLP,scaffold,7000,5,0.1724458038806915,0.028361945930378114,0.2656977815553875,0.05018984152119831,0.7120790004730224,0.06796647394919793
gine,2D graph + GINE,2D molecular graph,scratch GINE,scaffold,7000,5,0.09585175812244409,0.015490773204603807,0.1706784036518122,0.03507823349558673,0.8809295296858783,0.03240911704679929
rdkit_rf,RDKit + RF,RDKit descriptors,RandomForest,scaffold,8000,5,0.12839965048086305,0.026486482635781242,0.2161241914387248,0.04705588563995786,0.8089774180711528,0.05629220500137926
rdkit_xgb,RDKit + XGB,RDKit descriptors,XGBoost,scaffold,8000,5,0.12558985203504558,0.026143278096647626,0.194118651250821,0.04738509375421186,0.8453268766403198,0.05382692291079731
rdkit_mlp,RDKit + MLP,RDKit descriptors,MLP,scaffold,8000,5,0.1097248390316963,0.03522078993367276,0.1701148354653274,0.057160335116891434,0.8779571175575256,0.06508397506923644
morgan_rf,Morgan + RF,Morgan fingerprints,RandomForest,scaffold,8000,5,0.1722434096419768,0.03707381692354993,0.27179623908858,0.0495043373260617,0.6986649906183324,0.06779436459061419
morgan_xgb,Morgan + XGB,Morgan fingerprints,XGBoost,scaffold,8000,5,0.18306979537010187,0.01770869571125487,0.2730564152161457,0.036216876885203524,0.6962911725044251,0.0382962860530993
morgan_mlp,Morgan + MLP,Morgan fingerprints,MLP,scaffold,8000,5,0.16765437126159663,0.026899821092688018,0.2590348714323679,0.05007498416345044,0.7261347293853759,0.06754975382569713
gine,2D graph + GINE,2D molecular graph,scratch GINE,scaffold,8000,5,0.09832286834716794,0.01679277108861355,0.17095318230806736,0.032761926893224366,0.8806757745852984,0.029266216856966277
rdkit_rf,RDKit + RF,RDKit descriptors,RandomForest,scaffold,10000,5,0.12385639627448682,0.025543581830577,0.2093235324512052,0.04877494601707794,0.8202482687094005,0.059032841789906705
rdkit_xgb,RDKit + XGB,RDKit descriptors,XGBoost,scaffold,10000,5,0.12312281727790828,0.024302522935589713,0.18978006808420222,0.04669805814287933,0.8520735502243042,0.05224554324003763
rdkit_mlp,RDKit + MLP,RDKit descriptors,MLP,scaffold,10000,5,0.10476193577051156,0.032864923030485875,0.19309434838282075,0.10750858534837322,0.8272488713264465,0.17433479561254336
morgan_rf,Morgan + RF,Morgan fingerprints,RandomForest,scaffold,10000,5,0.17010587148233808,0.038273046137671705,0.26997006881029434,0.05153023926425447,0.702602506207967,0.0718326461502312
morgan_xgb,Morgan + XGB,Morgan fingerprints,XGBoost,scaffold,10000,5,0.18210351765155788,0.018903829006139877,0.2695237656241968,0.03748142558817498,0.7041406631469727,0.0408418537877134
morgan_mlp,Morgan + MLP,Morgan fingerprints,MLP,scaffold,10000,5,0.15937223136425016,0.026850227758123443,0.24956265610234407,0.05097878809035838,0.7456796646118165,0.0675976958679158
gine,2D graph + GINE,2D molecular graph,scratch GINE,scaffold,10000,5,0.09282046705484386,0.014686450777475062,0.1621271045673361,0.04046622685214643,0.8920467504110061,0.03861069035271104
